,url,brands,iphih1,sizedetails,sizedetail,ipiBoxi
72,https://diza.gallery/product-1955/short_tafte_organza_ParisaBehboudian_Diza#642590895,"['', 'Pari']","['سایز های محصول', 'مشخصات سایز']",['سایز : S\nقد : 82cm\nسرشانه : 12cm\nآستین : 62cm\nفاصله بین دو زیر بغل : 41cm'],"['سایز : S', 'قد : 82cm', 'سرشانه : 12cm', 'آستین : 62cm', 'فاصله بین دو زیر بغل : 41cm']","['این محصول نشان دهنده ظرافت زنانگی همراه با نقوش اصیل در استایل شما خواهد بود.', 'جزئیات محصول\nدارای آستر', 'توضیحات محصول\nجنس این محصول تافته سوزندوزی و ارگانزا است', 'نحوه مراقبت\nشستشو با آب سرد و شوینده ملایم\nبرای خشک کردن در معرض تابش مستقیم آفتاب قرار ندهید']"
73,https://diza.gallery/product-1956/white_linen_croptop_ParisaBehboudian_Diza#74326789411,"['', 'Pari']","['سایز های محصول', 'ناموجود!']",None,None,"['این کراپ تاپ بسیار راحت است و می تواند به یک آیتم محبوب در کمد لباس شما تبدیل شود.', 'جزئیات محصول\nبدون آبرفت', 'توضیحات محصول\nجنس این محصول لینن است', 'نحوه مراقبت\nشستشو در دمای کمتر از 40 درجه\nاز سفید کننده استفاده نفرمایید']"
74,https://diza.gallery/product-1958/peach_ghaba_RamakZaringhaba_Diza#,"['', 'Ramak zarringhaba']","['سایز های محصول', 'مشخصات سایز']",['سایز : FREE\nقد : 119cm\nقد آستین : 52cm'],"['سایز : FREE', 'قد : 119cm', 'قد آستین : 52cm']",None
75,https://diza.gallery/product-1960/white_shirt_Gownbad_Diza#47974215,"['', 'GONBAD']",['سایز های محصول'],None,None,"['المانی اصیل و با هویت که از پارچه\u200cی قلمکار با\u200c چاپ دستی و ترکیب رنگی شگفت\u200cانگیز دوخته شده تا به سادگی در کنار دیگر عناصر استایلتان \u200cقرار بگیرد. پارچه\u200cهای نفیس و زیبایی\u200cشناسی سنتی ایران همراه هم شده و این اثر زیبا را پدید آورده\u200cاند.', 'جزئیات محصول\nپارچه\u200cی قلمکار با چاپ دستی.', 'توضیحات محصول\nگنبد سعی دارد با استفاده از دو المان سنتی -پارچه قلمکار و کلاه نمدی- هنر دستی قدیمی ایران را در قالبی مدرن ارائه کند.']"
76,https://diza.gallery/product-1961/bottejegheh_blazer_Gownbad_Diza#631479043,"['', 'GONBAD']","['سایز های محصول', 'ناموجود!']",None,None,"['المانی اصیل و با هویت که از پارچه\u200cی قلمکار با\u200c چاپ دستی و ترکیب رنگی شگفت\u200cانگیز دوخته شده تا به سادگی در کنار دیگر عناصر استایلتان \u200cقرار بگیرد. پارچه\u200cهای نفیس و زیبایی\u200cشناسی سنتی ایران همراه هم شده و این اثر زیبا را پدید آورده\u200cاند.', 'جزئیات محصول\nپارچه\u200cی قلمکار با چاپ دستی.', 'توضیحات محصول\nگنبد سعی دارد با استفاده از دو المان سنتی -پارچه قلمکار و کلاه نمدی- هنر دستی قدیمی ایران را در قالبی مدرن ارائه کند.']"
77,https://diza.gallery/product-1962/love_blazer_ZarrinNasr_Diza#632479053,"['', 'زرین نصر']","['سایز های محصول', 'مشخصات سایز']",['سایز : FREE\nقد : 80cm\nسرشانه : 13cm\nآستین : 60cm\nفاصله بین دو زیر بغل : 49cm'],"['سایز : FREE', 'قد : 80cm', 'سرشانه : 13cm', 'آستین : 60cm', 'فاصله بین دو زیر بغل : 49cm']","['این کت منجوق دوزی شده با دست با هدف تلفیق نقوش سنتی و اشعار اصیل ایرانی و هنر مدرن توسط زرین نصر طراحی شده است.', 'جزئیات محصول\nمناسب سایز 34 تا 38', 'توضیحات محصول\nکت ابریشم خام از مجموعه عشق که توسط زرین نصر طراحی شده است']"
78,https://diza.gallery/product-1971/organza_bomber_jacket_sAAku_Diza#1148032704,"['', 'SAAKU']","['رنگ های دیگر:', 'سایز های محصول']",None,None,['مناسب سایز 36 تا 42']
79,https://diza.gallery/product-1971/organza_bomber_jacket_sAAku_Diza#352348001,"['', 'SAAKU']","['رنگ های دیگر:', 'سایز های محصول']",None,None,['مناسب سایز 36 تا 42']
80,https://diza.gallery/product-1971/organza_bomber_jacket_sAAku_Diza#6904251136,"['', 'SAAKU']","['رنگ های دیگر:', 'سایز های محصول']",None,None,['مناسب سایز 36 تا 42']
81,https://diza.gallery/product-1971/organza_bomber_jacket_sAAku_Diza#69861203,"['', 'SAAKU']","['رنگ های دیگر:', 'سایز های محصول']",None,None,['مناسب سایز 36 تا 42']
82,https://diza.gallery/product-1972/hob_scarf_Sav_Diza#85216893,"['', 'SAV']","['سایز های محصول', 'ناموجود!']",None,None,None
83,https://diza.gallery/product-1973/parastoo_scarf_Sav_Diza#2470327011,"['', 'SAV']","['سایز های محصول', 'ناموجود!']",None,None,None
84,https://diza.gallery/product-1974/cats_scarf_Sav_Diza#347952279,"['', 'SAV']","['سایز های محصول', 'ناموجود!']",None,None,None
85,https://diza.gallery/product-1975/red_velvet_clutch_NaghmehKiomarsi-Diza#3501160945,"['', 'نغمه کیومرثی']","['سایز های محصول', 'ناموجود!']",None,None,['اثری زیبا، کابردی و با دوام، دوخته شده از پارچه\u200cهای نفیس و با کیفیت، که همراه دیگر عناصر استایلتان شده و خود را به سادگی همسو می\u200cکند.']
86,https://diza.gallery/product-1976/long_blackandwhite_blazer_ZarrinNasr_Diza#358052911,"['', 'زرین نصر']","['سایز های محصول', 'مشخصات سایز']",['سایز : FREE\nقد : 118cm\nسرشانه : 22cm\nآستین : 53cm\nفاصله بین دو زیر بغل : 55cm'],"['سایز : FREE', 'قد : 118cm', 'سرشانه : 22cm', 'آستین : 53cm', 'فاصله بین دو زیر بغل : 55cm']","['این کت منجوق دوزی شده با دست با هدف تلفیق نقوش سنتی و اشعار اصیل ایرانی و هنر مدرن توسط زرین نصر طراحی شده است.', 'جزئیات محصول\nمناسب سایز 36 تا 40', 'توضیحات محصول\nکت کرپ از مجموعه عشق که توسط زرین نصر طراحی شده است.']"
87,https://diza.gallery/product-1978/floral_orange_scarf_Sav_Diza#3479053211,"['', 'SAV']","['سایز های محصول', 'ناموجود!']",None,None,None
88,https://diza.gallery/product-1979/green_fish_scarf_Sav_Diza#24799427,"['', 'SAV']",['سایز های محصول'],None,None,None
89,https://diza.gallery/product-1980/red_flower_scarf_Sav_Diza#721568043,"['', 'SAV']","['سایز های محصول', 'ناموجود!']",None,None,None
90,https://diza.gallery/product-1982/blue_fish_scarf_Sav_Diza#23469327,"['', 'SAV']","['سایز های محصول', 'ناموجود!']",None,None,None
91,https://diza.gallery/product-1985/green_long_mantou_ToktamHemmati_Diza#24680612,"['', 'TOKTAM HEMMATI']","['سایز های محصول', 'مشخصات سایز']",['سایز : FREE\nقد : 110cm\nسرشانه : 20cm\nآستین : 45cm\nفاصله بین دو زیر بغل : 73cm'],"['سایز : FREE', 'قد : 110cm', 'سرشانه : 20cm', 'آستین : 45cm', 'فاصله بین دو زیر بغل : 73cm']","['مانتو الیاف طبیعی با طراحی هندسی ، یک انتخاب عالی برای فصول گرم است.', 'توضیحات محصول\nمانتو هندسی الیاف طبیعی با رنگرزی گیاهی', 'نحوه مراقبت\nشستشوی دستی\nدمای 30 درجه']"
92,https://diza.gallery/product-1986/khazan_Scarf_Sav_Diza#580625811,"['', 'SAV']","['سایز های محصول', 'ناموجود!']",None,None,None
93,https://diza.gallery/product-1987/long_gray_mantou_ToktamHemmati_Diza#350642890,"['', 'TOKTAM HEMMATI']","['سایز های محصول', 'مشخصات سایز']",['سایز : FREE\nبلندترین : 120cm\nکوتاهترین : 100cm\nسرشانه : 20cm\nآستین : 46cm\nفاصله بین دو زیر بغل : 75cm'],"['سایز : FREE', 'بلندترین : 120cm', 'کوتاهترین : 100cm', 'سرشانه : 20cm', 'آستین : 46cm', 'فاصله بین دو زیر بغل : 75cm']","['مانتو الیاف طبیعی با طراحی هندسی ، یک انتخاب عالی برای فصول گرم است.', 'توضیحات محصول\nمانتو هندسی الیاف طبیعی با رنگرزی گیاهی', 'نحوه مراقبت\nشستشوی دستی\nدمای 30 درجه']"
94,https://diza.gallery/product-1988/beige_green_kaftan_RamakZarringhaba_Diza#34689540012,"['', 'Ramak zarringhaba']","['سایز های محصول', 'مشخصات سایز']",['سایز : FREE\nقد : 114cm\nقد آستین : 57cm'],"['سایز : FREE', 'قد : 114cm', 'قد آستین : 57cm']",None
95,https://diza.gallery/product-1990/purpule_kaftan_RamakZarringhaba_Diza#642145790,"['', 'Ramak zarringhaba']","['سایز های محصول', 'مشخصات سایز']",['سایز : FREE\nقد : 111cm\nقد آستین : 54cm'],"['سایز : FREE', 'قد : 111cm', 'قد آستین : 54cm']",None
96,https://diza.gallery/product-1991/eye_scarf_Sav_Diza#347074227,"['', 'SAV']",['سایز های محصول'],None,None,['با این شال ظاهری دلپذیر به لباس های روزمره خود ببخشید.']
97,https://diza.gallery/product-1992/clouds_scarf_Sav_Diza#468074279,"['', 'SAV']",['سایز های محصول'],None,None,['با این روسری ظاهری دلپذیر به لباس های روزمره خود ببخشید.']
98,https://diza.gallery/product-1993/orange_trousars_ParisaBehboudian_Diza#24781109350,"['', 'Pari']","['سایز های محصول', 'مشخصات سایز']",['سایز : M\nقد : 93cm\nفاق : 31cm'],"['سایز : M', 'قد : 93cm', 'فاق : 31cm']","['شلوار ارگانزا با دایره پولکی می تواند جلوه خاصی به استایل شما ببخشد.', 'جزئیات محصول\nشلوار کمر کش', 'توضیحات محصول\nجنس این محصول حریر ارگانزا است', 'نحوه مراقبت\nقبل از شستشو لباس را داخل کیسه پارچه ای قرار دهید.\nشسشو با ملایم ترین حالت ماشین در مای زیر 40 درجه']"
99,https://diza.gallery/product-1994/whitr_poplin_shirt_NargessTaafi_Diza#6421479052,"['', 'nargesTafi']","['سایز های محصول', 'مشخصات سایز']",['سایز : 1\nقد : 81cm\nسرشانه : 18cm\nآستین : 67cm\nفاصله بین دو زیر بغل : 53cm'],"['سایز : 1', 'قد : 81cm', 'سرشانه : 18cm', 'آستین : 67cm', 'فاصله بین دو زیر بغل : 53cm']","['جزئیات محصول\nمناسب سایز 36 تا 40', 'توضیحات محصول\nجنس این محصول پوپلین است']"
100,https://diza.gallery/product-1995/orange_kaftan_RamakZarringhaba_Diza#65158011,"['', 'Ramak zarringhaba']","['سایز های محصول', 'مشخصات سایز']",['سایز : FREE\nقد : 111cm\nقد آستین : 52cm'],"['سایز : FREE', 'قد : 111cm', 'قد آستین : 52cm']","['این اثر شما را از خانه تا خیابان و سفرها همراهی خواهد کرد و به شکل\u200cهای گوناگون برای کاربردهای متفاوت پوشیده می\u200cشود. این پیراهن اصیل که از پارچه\u200cای با طرح سنتی دوخته و با سوزن\u200cدوزی دستی بلوچستان تزئین شده، در کنار لباس\u200cها و اکسسوری\u200cهای دیگر در استایل\u200cهایی متفاوت جای می\u200cگیرد.', 'جزئیات محصول\nدوخته شده از پارچه\u200cی نخی.\nسوزن\u200cدوزی\u200cهای روی اثر از لباس\u200cهای قدیمی به\u200cیافت شده\u200cاند.']"
101,https://diza.gallery/product-1997/long_black_dress_18_Arigatorosian_Diza#2479952268,"['', 'ariga torosian']","['سایز های محصول', 'مشخصات سایز']",['سایز : S\nاز جلو : 86cm\nاز پشت : 118cm\nسرشانه : 10cm\nفاصله بین دو زیر بغل : 45cm'],"['سایز : S', 'از جلو : 86cm', 'از پشت : 118cm', 'سرشانه : 10cm', 'فاصله بین دو زیر بغل : 45cm']",['این پیراهن مینیمال و راحت با برش هندسی در پشت می تواند آیتم محبوبی در کمد باشد.']
102,https://diza.gallery/product-1998/black_beige_sandals_ArigaTorosian_Diza#421157942,"['', 'ariga torosian']",['سایز های محصول'],None,None,None
103,https://diza.gallery/product-1999/printed_shorts_Gownbad_Diza#4579003258,"['', 'GONBAD']","['سایز های محصول', 'ناموجود!']",None,None,"['المانی اصیل و با هویت که از پارچه\u200cی قلمکار با\u200c چاپ دستی و ترکیب رنگی شگفت\u200cانگیز دوخته شده تا به سادگی در کنار دیگر عناصر استایلتان \u200cقرار بگیرد. پارچه\u200cهای نفیس و زیبایی\u200cشناسی سنتی ایران همراه هم شده و این اثر زیبا را پدید آورده\u200cاند.', 'جزئیات محصول\nپارچه\u200cی قلمکار با چاپ دستی.\nمناسب سایز 36 تا 44', 'توضیحات محصول\nگنبد سعی دارد با استفاده از دو المان سنتی -پارچه قلمکار و کلاه نمدی- هنر دستی قدیمی ایران را در قالبی مدرن ارائه کند.']"
104,https://diza.gallery/product-2000/green_kaftan_RamakZarringhaba_Diza#75215064,"['', 'Ramak zarringhaba']","['سایز های محصول', 'مشخصات سایز']",['سایز : FREE\nقد : 127cm\nقد آستین : 61cm'],"['سایز : FREE', 'قد : 127cm', 'قد آستین : 61cm']","['این اثر شما را از خانه تا خیابان و سفرها همراهی خواهد کرد و به شکل\u200cهای گوناگون برای کاربردهای متفاوت پوشیده می\u200cشود. این پیراهن اصیل که از پارچه\u200cای با طرح سنتی دوخته و با سوزن\u200cدوزی دستی بلوچستان تزئین شده، در کنار لباس\u200cها و اکسسوری\u200cهای دیگر در استایل\u200cهایی متفاوت جای می\u200cگیرد.', 'جزئیات محصول\nدوخته شده از پارچه\u200cی نخی.\nسوزن\u200cدوزی\u200cهای روی اثر از لباس\u200cهای قدیمی به\u200cیافت شده\u200cاند.']"
105,https://diza.gallery/product-2001/white_long_dress__ParisabehBboudian_Diza#7423579052,"['', 'Pari']","['سایز های محصول', 'ناموجود!']",None,None,"['این پیراهن سفید و راحت می تواند به آیتم محبوبی در کمد شما تبدیل شود.', 'جزئیات محصول\n36 تا 42', 'توضیحات محصول\nجنس این محصول لینن است. بدون آبرفت', 'نحوه مراقبت\nشستشو در دمای کمتر از 40 درجه\nاز مایع سفید کننده استفاده نفرمایید']"
106,https://diza.gallery/product-2003/vneck_blazer_Toktamhemmati_Diza#135894216,"['', 'TOKTAM HEMMATI']","['رنگ های دیگر:', 'سایز های محصول']",None,None,"['کت الیاف طبیعی با طراحی هندسی ، یک انتخاب عالی برای فصول گرم است.', 'توضیحات محصول\nکت پشت باز هندسی الیاف طبیعی با رنگرزی گیاهی']"
