,Links,brands,iphih1,sizedetails,sizedetail,ipiBoxi
643,https://diza.gallery/product-1766/flying_horses_Shirt_Rosebari_Diza#53469026,"['', 'Rosebari']",['سایز های محصول'],None,None,"['اساس طراحی\u200cهای ""رزبری"" تصویرسازی و پارچه\u200cسازی است؛ پارچه\u200cهایی که توسط خود رزبری تولید و تصاویری که با الهام از فرهنگ عام جوانان، ایران و جهان خلق می\u200cشوند. این کیموشرت برشی آزاد دارد و به همین سبب به هر تنی خوش می\u200cنشیند. این اثر در کنار دیگر المان\u200cهای پوشش مخاطب در موقعیت\u200cهای گوناگون روز و عصر همراهی می\u200cکند و استایلی متفاوت می\u200cسازد.', 'جزئیات محصول\nمناسب سایز 36 تا 44']"
644,https://diza.gallery/product-1767/pink_dress_studioModam_Diza#324376985,"['', 'MODAM']","['سایز های محصول', 'مشخصات سایز']",['سایز : 1\nقد : 122cm\nسرشانه : 11cm\nفاصله بین دو زیر بغل : 51cm\nمناسب سایز : 36'],"['سایز : 1', 'قد : 122cm', 'سرشانه : 11cm', 'فاصله بین دو زیر بغل : 51cm', 'مناسب سایز : 36']","['مناسب سایز 36 تا 40', 'جزئیات محصول\nپارچه این محصول از پلی ویسکوز می باشد.']"
645,https://diza.gallery/product-1769/double_sided_floral_blazer_Diza#4547832179,"['', 'mehrnoosh shahhosseini']",['سایز های محصول'],None,None,None
646,https://diza.gallery/product-1770/black_asymmetrical-_dress_studioModam_Diza#32436437818,"['', 'MODAM']","['سایز های محصول', 'مشخصات سایز']",['سایز : 1\nقد : 122cm\nسرشانه : 11cm\nفاصله بین دو زیر بغل : 51cm'],"['سایز : 1', 'قد : 122cm', 'سرشانه : 11cm', 'فاصله بین دو زیر بغل : 51cm']","['مناسب سایز 36 تا 40', 'جزئیات محصول\nدوخته شده از پوپلین و لینن.\nجلو بسته.\nبا کمربند.\nنامتقارن.']"
647,https://diza.gallery/product-1771/iris_top_Xicone_Diza#2423659426,"['', 'XICON']","['رنگ های دیگر:', 'سایز های محصول']",None,None,"['از باید\u200cهای هر کمد . المانی کاربردی و خارج از طرف زمان و مکان که همراه انسان معاصر شده و خود را با هر استایلی همراه و هماهنگ می\u200cکند.', 'جزئیات محصول\nتاپ آیکونیک XICON ھر فصل با ایجاد تغییرات محدود تولید میشود.\nمناسب سایز 34 تا 40']"
648,https://diza.gallery/product-1771/iris_top_Xicone_Diza#578064322,"['', 'XICON']","['رنگ های دیگر:', 'سایز های محصول']",None,None,"['از باید\u200cهای هر کمد . المانی کاربردی و خارج از طرف زمان و مکان که همراه انسان معاصر شده و خود را با هر استایلی همراه و هماهنگ می\u200cکند.', 'جزئیات محصول\nتاپ آیکونیک XICON ھر فصل با ایجاد تغییرات محدود تولید میشود.\nمناسب سایز 34 تا 40']"
649,https://diza.gallery/product-1774/Linen_silk_Scarf_Ou_Diza#453478246,"['', 'او']","['رنگ های دیگر:', 'سایز های محصول', 'ناموجود!']",None,None,None
650,https://diza.gallery/product-1774/Linen_silk_Scarf_Ou_Diza#6800468481,"['', 'او']","['رنگ های دیگر:', 'سایز های محصول', 'ناموجود!']",None,None,None
651,https://diza.gallery/product-1775/long_tulle_dress_Naghmehkiyomarsi_Diza#4645772124,"['', 'نغمه کیومرثی']",['سایز های محصول'],None,None,['مناسب سایز 36 تا 44']
652,https://diza.gallery/product-1776/black_skirt_Modam_Diza#56372468,"['', 'MODAM']",['سایز های محصول'],None,None,"['این دامن از جنس پوپلین می باشد.', 'جزئیات محصول\nمناسب سایز 34 تا 38']"
653,https://diza.gallery/product-1777/colorful_doublesided_mantou_Mehrnooshshahhosseini_Diza#346923916712,"['', 'mehrnoosh shahhosseini']",['سایز های محصول'],None,None,None
654,https://diza.gallery/product-1778/samanbar_blazer_Ou_Diza#5804215905,"['', 'او']","['سایز های محصول', 'ناموجود!']",None,None,['جزئیات محصول\nاین کت از پارچه تافته ابریشم می باشد.']
655,https://diza.gallery/product-1780/gray_blazer_Naghmehkiomarsi_Diza#61129064891,"['', 'نغمه کیومرثی']",['سایز های محصول'],None,None,['جزئیات محصول\nمناسب سایز 34 تا 40']
656,https://diza.gallery/product-1782/chakavak_blouse_Ou_Diza#24699467921,"['', 'او']","['رنگ های دیگر:', 'سایز های محصول', 'ناموجود!']",None,None,['مناسب سایز 36 تا 44']
657,https://diza.gallery/product-1782/chakavak_blouse_Ou_Diza#34799532108,"['', 'او']","['رنگ های دیگر:', 'سایز های محصول', 'ناموجود!']",None,None,['مناسب سایز 36 تا 44']
658,https://diza.gallery/product-1783/linen_trousars_Naghmehkiomarsi_Diza#357942156,"['', 'نغمه کیومرثی']","['رنگ های دیگر:', 'سایز های محصول', 'ناموجود!']",None,None,['جزئیات محصول\nمناسب سایز 40 و 42']
659,https://diza.gallery/product-1783/linen_trousars_Naghmehkiomarsi_Diza#43589421,"['', 'نغمه کیومرثی']","['رنگ های دیگر:', 'سایز های محصول', 'ناموجود!']",None,None,['جزئیات محصول\nمناسب سایز 40 و 42']
660,https://diza.gallery/product-1783/linen_trousars_Naghmehkiomarsi_Diza#578321579,"['', 'نغمه کیومرثی']","['رنگ های دیگر:', 'سایز های محصول', 'ناموجود!']",None,None,['جزئیات محصول\nمناسب سایز 40 و 42']
661,https://diza.gallery/product-1785/beige_trousars_Ou_Diza#1680753167,"['', 'او']",['سایز های محصول'],None,None,None
662,https://diza.gallery/product-1787/delgosha_blouse_Ou_Diza#469890065,"['', 'او']","['رنگ های دیگر:', 'سایز های محصول']",None,None,['جزئیات محصول\nتایپوگرافی ها تماما گلدوزی است.']
663,https://diza.gallery/product-1787/delgosha_blouse_Ou_Diza#589321258,"['', 'او']","['رنگ های دیگر:', 'سایز های محصول']",None,None,['جزئیات محصول\nتایپوگرافی ها تماما گلدوزی است.']
664,https://diza.gallery/product-1788/sarv_blazer_Ou_Diza#23358076,"['', 'او']","['سایز های محصول', 'ناموجود!']",None,None,None
665,https://diza.gallery/product-1789/of_shoulder_blouse_NaghmehKiomarsi_Diza#547658326,"['', 'نغمه کیومرثی']","['سایز های محصول', 'مشخصات سایز']",['سایز : FREE\nقد جلو : ۶۸cm\nقد پشت : ۸۲cm\nسرشانه : ۱۲cm\nآستین : ۴۸cm\nعرض سینه : ۵۱cm'],"['سایز : FREE', 'قد جلو : ۶۸cm', 'قد پشت : ۸۲cm', 'سرشانه : ۱۲cm', 'آستین : ۴۸cm', 'عرض سینه : ۵۱cm']","['اثری نفیس با دوخت با\u200c دوام. این اثر با طراحی خیره کننده خود تا سال ها شما را با کیفیت روز اول همراهی خواهد کرد، او را با دیگر عناصر پوشش خود همراه کنید و استایلی مناسب موقعیت\u200cهای رسمی و نیمه\u200c رسمی داشته باشید.', 'جزئیات محصول\nمناسب سایز 36 تا 40']"
666,https://diza.gallery/product-1790/white_plaid_blouse_NaghmehKiomarsi_Diza#4576583257,"['', 'نغمه کیومرثی']","['سایز های محصول', 'مشخصات سایز']",['سایز : FREE\nقد از جلو : 76cm\nقد از پشت : 86cm\nسرشانه : 12cm\nقد آستین : 62cm\nعرض سینه : 56cm'],"['سایز : FREE', 'قد از جلو : 76cm', 'قد از پشت : 86cm', 'سرشانه : 12cm', 'قد آستین : 62cm', 'عرض سینه : 56cm']",['جزئیات محصول\nمناسب سایز 36 تا 44']
667,https://diza.gallery/product-1791/yellow_flower_scarf_Ze_Diza#4565893,"['', 'ز']","['سایز های محصول', 'ناموجود!']",None,None,None
